Bid ID,Title,Organization,Quantity,Start Date,End Date,Bid Value
GEM/2026/B/7400047,"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Manpower Outsourcing",Ministry of Housing & Urban Affairs (MoHUA) | Central Public Works Department,15,29-03-2026 11:34 PM,14-04-2026 06:00 PM,
GEM/2026/B/7421273,Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Admin,Agriculture and Marketing Department Delhi,46,07-04-2026 04:56 PM,17-04-2026 05:00 PM,
GEM/2026/B/7414594,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Ministry of Finance | Department of Financial Services,5,04-04-2026 12:50 PM,27-04-2026 01:00 PM,
GEM/2026/B/7256557,Manpower Outsourcing Services - Fixed Remuneration - Admin; Computer Operator; Graduate,Ministry of Communications | Department of Posts,3,01-04-2026 06:13 PM,22-04-2026 01:00 PM,
GEM/2026/B/7431916,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Admin,Ministry of Finance | Department of Revenue,4,10-04-2026 12:06 PM,20-04-2026 01:00 PM,
GEM/2026/B/7276471,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Admin,Ministry of Defence | Department of Defence Production,5,10-04-2026 12:27 PM,20-04-2026 01:00 PM,
GEM/2026/B/7432018,"Manpower Outsourcing Services - Fixed Remuneration - Admin; Data Entry Operator; Graduate,Manpower ",Ministry of Information and Broadcasting | Ministry of Information and Broadcasting,5,10-04-2026 12:42 PM,20-04-2026 12:00 PM,
GEM/2026/B/7433039,"Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Manpower Outsourcing",Ministry of Finance | Department of Revenue,65,10-04-2026 02:57 PM,20-04-2026 03:00 PM,
GEM/2026/B/7432708,Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Ministry of Home Affairs | Department of Home,3,10-04-2026 05:20 PM,25-04-2026 02:00 PM,
GEM/2026/B/7409618,Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Others,Ministry of Personnel Public Grievances and Pensions | Department of Personnel and Training,1,10-04-2026 03:23 PM,25-04-2026 03:00 PM,
GEM/2026/B/7432677,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Ministry of Social Justice and Empowerment | Department of Social Justice and Empowerment,11,10-04-2026 03:36 PM,20-04-2026 04:00 PM,
GEM/2026/B/7424074,Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Ministry of Education | Department of Higher Education,7,08-04-2026 05:11 PM,18-04-2026 06:00 PM,
GEM/2026/B/7335849,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Tribal Affairs | Ministry of Tribal Affairs,19,08-04-2026 05:24 PM,18-04-2026 07:00 PM,
GEM/2026/B/7389207,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Defence | Department of Defence,9,10-04-2026 12:40 PM,20-04-2026 01:00 PM,
GEM/2026/B/7431352,"Manpower Outsourcing Services - Fixed Remuneration - Others; Mazdoor/Labour; High School,Manpower O",Ministry of Defence | Department of Military Affairs,14,10-04-2026 10:55 AM,20-04-2026 11:00 AM,
GEM/2026/B/7261423,"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Manpower Outsourcing",Ministry of Defence | Department of Defence,30,13-04-2026 12:04 PM,23-04-2026 01:00 PM,
GEM/2026/B/7436666,"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Manpower Outsourcing",Ministry of Housing & Urban Affairs (MoHUA) | Central Public Works Department,15,12-04-2026 10:28 AM,22-04-2026 01:00 PM,
GEM/2026/B/7431534,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",Ministry of Law and Justice | District & Sesions Judge,6,11-04-2026 03:47 PM,21-04-2026 04:00 PM,
GEM/2026/B/7428313,"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Manpower Outsourcing",Training and Technical Education Department Delhi,181,10-04-2026 06:10 PM,20-04-2026 07:00 PM,
GEM/2026/B/7369972,"Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Admin,Manpower Outsourcin",Ministry of Defence | Department of Military Affairs,3,10-04-2026 06:13 PM,17-04-2026 11:00 AM,
GEM/2026/B/7375821,Manpower Outsourcing Services - Minimum wage - Skilled; High School; Others,Ministry of Defence | Department of Military Affairs,1,13-04-2026 01:03 PM,28-04-2026 01:00 PM,
GEM/2026/B/7440030,Manpower Outsourcing Services - Fixed Remuneration - Healthcare; Special Educator; Educational Qual,Ministry of Defence | Department of Military Affairs,3,13-04-2026 06:36 PM,23-04-2026 07:00 PM,
GEM/2026/B/7433436,Manpower Outsourcing Services - Minimum wage - Skilled; Not Required; Others,Ministry of Corporate Affairs | NA,9,13-04-2026 05:17 PM,23-04-2026 06:00 PM,
GEM/2026/B/7366186,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Bachelor in Physiotherapy; Healthcar,Ministry of Health and Family Welfare | Department of Health and Family Welfare,17,18-03-2026 03:16 PM,14-04-2026 04:00 PM,
GEM/2026/B/7402196,Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; IT-Technical,Ministry of Science and Technology | Department of Scientific and Industrial Research (DSIR),2,06-04-2026 01:17 PM,16-04-2026 02:00 PM,
GEM/2026/B/7338345,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",Ministry of Agriculture and Farmers Welfare | Department of Agriculture Cooperation and Farmers Welfare,25,13-04-2026 12:42 PM,23-04-2026 03:00 PM,
GEM/2026/B/7406503,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Defence | Department of Military Affairs,1,11-04-2026 09:53 AM,16-04-2026 10:00 AM,
GEM/2026/B/7253983,"Manpower Outsourcing Services - Minimum wage - Skilled; High School; Non-IT Technical,Manpower Outs",Ministry of Defence | Department of Military Affairs,6,12-03-2026 07:01 PM,15-04-2026 03:00 PM,
GEM/2026/B/7373986,"Manpower Outsourcing Services - Minimum wage - Skilled; 12th or equivalent; Others,Manpower Outsour",Ministry of Home Affairs | Department of Home,58,10-04-2026 11:51 AM,20-04-2026 02:00 PM,
GEM/2026/B/7441871,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",Ministry of Corporate Affairs | NA,8,15-04-2026 12:03 PM,18-04-2026 01:00 PM,
GEM/2026/B/7441528,"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Manpower Outsourcing",Ministry of Agriculture and Farmers Welfare | Department of Agriculture Cooperation and Farmers Welfare,15,15-04-2026 12:11 PM,25-04-2026 11:00 AM,
GEM/2026/B/7441838,Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Admin,Home Department Delhi,77,15-04-2026 02:26 PM,25-04-2026 03:00 PM,
GEM/2026/B/7438784,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",Ministry of Information and Broadcasting | Ministry of Information and Broadcasting,4,15-04-2026 02:44 PM,25-04-2026 03:00 PM,
GEM/2026/B/7420345,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Defence | Department of Defence Production,1,15-04-2026 02:32 PM,06-05-2026 03:00 PM,
GEM/2026/B/7442977,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",Ministry of Information and Broadcasting | Ministry of Information and Broadcasting,3,15-04-2026 03:08 PM,25-04-2026 04:00 PM,
GEM/2026/B/7372221,Manpower Outsourcing Services - Minimum wage - Semi-skilled; Secondary School; Admin,Ministry of Housing & Urban Affairs (MoHUA) | NA,81,15-04-2026 04:29 PM,25-04-2026 05:00 PM,
GEM/2026/B/7443730,Manpower Outsourcing Services - Fixed Remuneration - Senior Consultant; Senior Consultant; Post Gra,Ministry of Fisheries Animal Husbandry Dairying | Department of Animal Husbandry and Dairying,5,15-04-2026 05:18 PM,25-04-2026 06:00 PM,
GEM/2026/B/7444130,Manpower Outsourcing Services - Minimum wage - Semi-skilled; Middle School; Admin,Ministry of Culture | NA,76,15-04-2026 06:07 PM,25-04-2026 06:00 PM,
